MONTH,PASSENGERS_TO_INDIA,PASSENGERS_FROM_INDIA
JAN,2079662,2236061
FEB,1764380,1982268
MAR,1868188,2158036
APR,1779369,2138120
MAY,2032635,2233776
JUN,2064960,1904483
JUL,2178194,1793448
AUG,1815667,2260718
SEP,1717241,2010317
OCT,2042536,2011537
NOV,2096937,1943196
DEC,2341871,2186996
JAN,2263352,2421968
FEB,1973688,2123380
MAR,2106490,2325940
APR,1959340,2375183
MAY,2206612,2437937
JUN,2355296,1962625
JUL,2475137,2081707
AUG,2067689,2424063
SEP,1973033,2296748
OCT,2200089,2094707
NOV,2324759,2194642
DEC,2638204,2383572