AIRLINE_NAME,PASSENGERS_FROM_INDIA,PASSENGERS_TO_INDIA
AIR INDIA,2846774,2804989
AIR INDIA EXPRESS,1364578,1210488
INDIGO,834486,780250
JET AIRWAYS,3546707,3520997
SPICEJET,563251,521663
AEROFLOT,73123,65814
AEROLOGIC,0,0
AIR ARABIA,904587,867826
AIR ASIA BERHAD,267034,271537
AIR AUSTRAL,1824,1837
AIR CHINA,41280,37993
AIR FRANCE,203328,183593
AIR MANAS,7238,6858
AIR MAURITIUS,86082,82560
AIR ASTANA,27541,25448
AIR SEYCHELLES,18098,18619
ALL NIPPON AIRWAYS,58242,45378
ARIANA AFGHAN,20318,18600
ASIANA AIRLINES,34525,32896
AUSTRIAN AIRLINES,60198,54211