MONTH,FREIGHT_TO_INDIA,FREIGHT_FROM_INDIA
JAN,39561.873,72763.179
FEB,40590.829,65478.423
MAR,46228.8537,75520.9455
APR,44996.78955,69767.42776
MAY,48352.42728,72994.30629
JUN,45391.09253,71952.19437
JUL,46769.79854,71087.63352
AUG,56823.41702,68385.5702
SEP,47047.7322,65945.0834
OCT,54270.73571,81603.12273
NOV,43958.21545,62025.05838
DEC,46745.50798,110252.4722
JAN,43765.6,66392.6
FEB,41089.2,68938.4
MAR,49371.3,80505.3
APR,45922,75218.5
MAY,46190.4,77512.4
JUN,45061.7,78705.7
JUL,48473,73268.6
AUG,47419.1,73907.4
SEP,49742.4,72500.1
OCT,52396.9,80946.1
NOV,49964.8,71950.7
DEC,51122.3,73356.4